,class
55,potent
22,active
76,inactive
44,intermediate
72,inactive
15,active
42,intermediate
40,intermediate
9,active
85,inactive
11,intermediate
103,potent
78,inactive
28,intermediate
79,inactive
5,active
62,potent
56,intermediate
39,active
35,inactive
16,active
66,potent
34,inactive
7,active
43,active
68,active
69,potent
27,intermediate
19,potent
84,inactive
25,active
73,inactive
49,inactive
13,active
24,intermediate
3,active
17,active
38,intermediate
8,active
81,inactive
6,active
67,potent
36,inactive
90,intermediate
83,inactive
54,potent
50,inactive
70,potent
46,intermediate
99,potent
61,intermediate
100,potent
96,potent
41,intermediate
58,potent
48,intermediate
89,intermediate
57,potent
75,inactive
32,inactive
97,potent
59,potent
63,potent
101,potent
37,intermediate
29,active
1,active
52,potent
21,active
2,active
23,active
87,inactive
94,intermediate
74,inactive
86,inactive
82,inactive
20,active
60,potent
71,active
14,active
92,intermediate
51,potent
102,potent
