,class
236,intermediate
159,inactive
146,inactive
69,potent
2,active
127,active
136,active
132,active
228,intermediate
92,potent
162,inactive
255,intermediate
117,active
29,active
200,inactive
180,inactive
97,potent
104,active
5,active
56,potent
142,active
164,inactive
201,inactive
65,potent
148,inactive
85,potent
229,intermediate
179,inactive
31,intermediate
12,potent
35,active
28,potent
42,potent
260,intermediate
108,active
158,inactive
22,potent
137,active
93,potent
183,inactive
124,active
51,active
112,active
186,inactive
95,potent
210,intermediate
256,intermediate
76,potent
168,inactive
41,potent
243,intermediate
165,inactive
26,active
258,intermediate
150,inactive
0,potent
215,intermediate
100,potent
193,inactive
220,intermediate
98,potent
36,active
61,potent
176,inactive
152,inactive
11,active
261,intermediate
213,intermediate
27,intermediate
167,inactive
4,potent
122,active
32,active
242,intermediate
192,inactive
138,active
62,potent
135,active
128,active
244,intermediate
204,inactive
70,potent
225,intermediate
64,potent
44,potent
175,inactive
156,inactive
40,intermediate
123,active
153,inactive
23,intermediate
254,intermediate
198,inactive
81,potent
39,active
224,intermediate
47,potent
94,potent
205,inactive
161,inactive
43,potent
145,inactive
185,inactive
3,active
105,active
53,potent
133,active
245,intermediate
208,intermediate
250,intermediate
49,potent
163,inactive
80,potent
34,active
221,intermediate
7,active
171,inactive
226,intermediate
110,active
91,potent
83,potent
240,intermediate
246,intermediate
89,potent
8,intermediate
13,potent
59,potent
232,intermediate
131,active
17,intermediate
166,inactive
72,potent
237,intermediate
134,active
227,intermediate
248,intermediate
63,potent
54,intermediate
107,active
50,potent
222,intermediate
174,inactive
223,intermediate
189,inactive
14,active
207,inactive
238,intermediate
219,intermediate
169,inactive
58,potent
218,intermediate
48,intermediate
88,potent
21,active
57,potent
203,inactive
160,inactive
259,intermediate
187,inactive
191,inactive
129,active
37,active
157,inactive
235,intermediate
253,intermediate
1,potent
52,potent
149,inactive
130,active
151,inactive
103,active
99,potent
116,active
87,potent
202,inactive
74,potent
214,intermediate
121,active
263,intermediate
20,active
188,inactive
71,potent
106,active
102,active
