,class
17,inactive
66,inactive
176,potent
247,intermediate
31,inactive
84,inactive
401,inactive
353,inactive
181,potent
281,active
94,active
239,active
208,potent
391,inactive
318,active
175,potent
104,active
349,inactive
5,active
45,active
154,intermediate
307,active
395,inactive
280,active
16,intermediate
414,intermediate
124,potent
403,intermediate
3,active
18,intermediate
246,intermediate
60,inactive
225,potent
140,potent
63,intermediate
110,active
311,active
218,potent
29,active
153,potent
131,potent
26,intermediate
7,intermediate
407,intermediate
108,active
227,potent
418,intermediate
118,active
114,inactive
168,potent
422,intermediate
331,active
341,active
155,potent
297,active
399,inactive
141,potent
329,active
398,inactive
397,inactive
195,active
109,intermediate
222,potent
145,potent
378,inactive
152,potent
172,potent
262,intermediate
83,intermediate
381,inactive
180,potent
74,inactive
244,inactive
368,inactive
199,potent
119,potent
248,inactive
265,intermediate
203,potent
316,active
434,intermediate
204,potent
209,potent
426,intermediate
234,inactive
36,inactive
139,intermediate
389,inactive
193,potent
352,inactive
417,intermediate
59,intermediate
111,inactive
310,active
249,intermediate
6,intermediate
322,active
428,intermediate
158,intermediate
150,potent
177,potent
184,active
10,inactive
404,intermediate
103,inactive
81,active
38,inactive
354,inactive
167,intermediate
420,intermediate
374,inactive
198,potent
383,inactive
210,intermediate
301,active
194,potent
89,potent
291,active
163,potent
324,active
147,intermediate
2,intermediate
92,active
358,inactive
69,inactive
253,intermediate
123,potent
436,intermediate
96,active
143,potent
386,inactive
320,active
416,intermediate
97,inactive
274,potent
68,inactive
23,intermediate
37,intermediate
144,potent
122,potent
255,inactive
202,potent
182,potent
67,inactive
299,active
271,active
390,inactive
419,intermediate
266,intermediate
355,inactive
250,intermediate
125,potent
146,potent
342,active
268,active
223,potent
228,potent
86,inactive
376,inactive
219,potent
129,active
377,inactive
393,inactive
323,active
338,active
183,potent
272,inactive
317,active
335,active
365,inactive
112,intermediate
179,potent
396,inactive
302,active
424,intermediate
431,intermediate
321,active
233,inactive
421,intermediate
164,potent
136,potent
197,potent
258,intermediate
232,inactive
115,inactive
120,potent
224,potent
361,inactive
347,active
127,potent
370,inactive
107,potent
332,active
289,active
133,intermediate
325,active
44,active
412,intermediate
65,inactive
283,active
85,active
242,potent
186,intermediate
159,potent
12,intermediate
35,inactive
28,inactive
170,active
142,potent
357,inactive
305,active
221,potent
95,potent
51,intermediate
240,active
334,active
340,active
178,potent
41,inactive
445,intermediate
206,potent
282,active
254,inactive
371,inactive
4,intermediate
256,inactive
402,inactive
100,intermediate
226,potent
382,inactive
213,potent
171,potent
98,active
292,active
215,potent
61,intermediate
47,intermediate
32,inactive
267,intermediate
327,active
200,potent
400,inactive
27,inactive
384,inactive
230,potent
260,inactive
288,active
162,potent
380,inactive
138,active
62,intermediate
135,potent
128,potent
8,active
326,active
415,intermediate
64,inactive
300,active
14,inactive
156,intermediate
40,intermediate
411,intermediate
362,inactive
216,potent
279,active
388,inactive
337,active
236,intermediate
207,potent
212,intermediate
295,active
409,intermediate
251,potent
437,intermediate
410,intermediate
303,active
350,inactive
269,inactive
201,potent
161,potent
43,active
217,potent
190,potent
309,active
259,intermediate
105,active
53,active
1,inactive
432,intermediate
49,active
80,potent
205,potent
34,intermediate
263,intermediate
366,inactive
91,active
339,active
423,intermediate
52,intermediate
345,active
264,intermediate
241,potent
13,active
315,active
88,potent
387,inactive
273,inactive
166,potent
328,active
440,intermediate
134,potent
306,active
430,intermediate
319,active
243,active
54,active
363,inactive
50,active
174,potent
189,potent
444,intermediate
187,potent
169,potent
58,intermediate
48,active
344,active
235,intermediate
252,inactive
21,intermediate
313,active
160,potent
276,inactive
191,potent
385,inactive
293,active
413,intermediate
343,active
257,inactive
308,active
149,potent
130,potent
151,potent
359,inactive
99,intermediate
372,inactive
87,inactive
330,active
214,potent
121,potent
447,intermediate
20,intermediate
188,potent
71,intermediate
106,active
270,active
348,inactive
435,intermediate
102,intermediate
