,class
66,inactive
90,potent
62,intermediate
22,inactive
85,active
81,inactive
77,intermediate
15,intermediate
30,intermediate
45,intermediate
9,intermediate
33,intermediate
56,active
64,intermediate
28,inactive
79,intermediate
5,active
107,potent
70,inactive
39,active
35,intermediate
16,intermediate
105,potent
34,inactive
110,potent
7,intermediate
43,active
67,active
99,potent
27,inactive
19,inactive
89,potent
94,potent
25,inactive
8,active
83,active
49,active
13,active
78,inactive
24,intermediate
3,active
17,inactive
38,potent
101,potent
6,active
72,intermediate
96,potent
88,potent
54,active
50,active
84,active
46,inactive
76,inactive
61,inactive
108,potent
109,potent
41,active
58,active
48,active
95,potent
57,intermediate
75,intermediate
32,inactive
104,potent
59,active
63,inactive
93,potent
37,active
29,inactive
98,potent
1,active
52,potent
21,inactive
2,intermediate
23,inactive
87,potent
100,potent
74,inactive
86,inactive
82,active
111,potent
20,inactive
60,intermediate
71,inactive
106,potent
14,inactive
92,potent
51,intermediate
102,potent
