,class
151,intermediate
2,intermediate
124,active
45,inactive
42,inactive
69,inactive
90,active
26,intermediate
140,intermediate
82,inactive
96,active
132,intermediate
36,intermediate
81,inactive
22,intermediate
145,intermediate
67,active
115,active
11,inactive
65,inactive
85,intermediate
6,inactive
27,intermediate
76,inactive
141,intermediate
127,active
41,inactive
4,intermediate
137,intermediate
32,intermediate
128,active
108,active
68,inactive
10,inactive
95,active
114,active
0,active
120,active
112,active
64,inactive
44,inactive
86,active
28,active
40,inactive
154,intermediate
25,intermediate
23,intermediate
118,active
79,inactive
39,inactive
93,active
134,intermediate
157,intermediate
136,intermediate
47,inactive
122,active
61,inactive
73,intermediate
33,inactive
111,active
119,active
126,active
62,inactive
160,intermediate
150,intermediate
155,intermediate
53,inactive
5,inactive
117,active
125,active
149,intermediate
49,inactive
35,inactive
80,active
77,intermediate
34,intermediate
46,inactive
7,inactive
43,inactive
70,intermediate
123,active
110,active
91,active
83,intermediate
146,intermediate
147,intermediate
89,active
8,inactive
113,active
13,inactive
59,inactive
139,intermediate
3,intermediate
17,inactive
38,intermediate
72,active
142,intermediate
135,intermediate
148,intermediate
63,inactive
54,inactive
107,active
50,inactive
159,intermediate
58,inactive
48,inactive
88,active
21,active
57,inactive
156,intermediate
129,active
37,intermediate
152,intermediate
1,inactive
52,inactive
130,active
103,active
99,active
116,active
87,active
74,intermediate
121,active
161,intermediate
20,inactive
71,inactive
106,active
14,inactive
92,active
102,active
