,class
66,potent
229,inactive
7,active
140,intermediate
323,intermediate
305,intermediate
301,intermediate
78,potent
147,active
94,potent
258,inactive
60,active
332,intermediate
239,inactive
132,potent
202,active
152,active
17,potent
24,intermediate
238,inactive
145,active
209,inactive
254,inactive
287,intermediate
139,inactive
272,inactive
179,active
143,active
19,potent
256,inactive
79,potent
108,potent
18,intermediate
116,intermediate
266,inactive
31,intermediate
245,inactive
277,inactive
165,active
250,inactive
126,potent
282,inactive
59,intermediate
111,potent
197,active
15,inactive
6,active
244,inactive
222,inactive
93,potent
30,active
22,active
292,intermediate
302,intermediate
56,potent
271,inactive
10,intermediate
232,inactive
242,inactive
81,potent
176,active
339,intermediate
304,intermediate
283,inactive
223,inactive
181,active
92,active
69,potent
221,inactive
96,potent
262,inactive
97,potent
182,active
68,potent
23,active
37,potent
144,active
122,potent
67,active
274,inactive
155,active
125,potent
146,active
234,inactive
86,potent
290,intermediate
163,active
291,intermediate
211,inactive
261,inactive
320,intermediate
275,inactive
168,active
233,inactive
129,active
38,potent
253,inactive
303,intermediate
177,active
112,active
249,inactive
324,intermediate
117,active
317,intermediate
331,intermediate
309,intermediate
311,intermediate
164,active
199,active
237,inactive
154,active
228,inactive
2,active
115,potent
185,active
227,inactive
120,potent
265,inactive
297,intermediate
127,intermediate
74,potent
278,inactive
29,potent
83,potent
285,intermediate
107,potent
196,active
203,inactive
133,intermediate
184,active
247,inactive
44,potent
316,intermediate
65,potent
327,intermediate
85,potent
186,active
70,potent
159,active
12,intermediate
35,potent
28,potent
170,active
142,active
248,inactive
131,potent
288,intermediate
51,potent
95,potent
296,intermediate
178,active
204,inactive
123,potent
41,potent
89,potent
268,inactive
206,inactive
136,potent
26,active
337,intermediate
141,active
286,intermediate
4,potent
0,active
328,intermediate
294,intermediate
312,intermediate
100,potent
226,inactive
192,active
295,intermediate
218,inactive
213,inactive
103,potent
171,active
98,intermediate
36,potent
215,inactive
61,potent
150,active
246,inactive
47,intermediate
32,intermediate
284,intermediate
11,intermediate
340,intermediate
200,active
307,intermediate
27,potent
281,inactive
230,inactive
162,active
326,intermediate
138,intermediate
62,potent
135,potent
128,intermediate
8,intermediate
64,potent
14,inactive
156,active
40,potent
315,intermediate
279,inactive
216,inactive
298,intermediate
236,inactive
207,inactive
212,inactive
322,intermediate
251,inactive
335,intermediate
314,intermediate
269,inactive
201,active
161,active
43,potent
217,inactive
190,active
259,inactive
105,potent
53,active
1,active
49,potent
80,active
205,inactive
34,potent
263,inactive
91,potent
52,potent
264,inactive
241,inactive
13,inactive
88,intermediate
273,inactive
166,active
338,intermediate
134,potent
306,intermediate
334,intermediate
243,inactive
54,active
50,potent
174,active
189,active
342,intermediate
187,active
169,active
58,active
48,active
235,inactive
252,inactive
21,active
313,intermediate
160,active
276,inactive
191,active
293,intermediate
257,inactive
308,intermediate
149,active
130,potent
151,active
99,potent
87,potent
330,intermediate
214,inactive
121,potent
343,intermediate
20,intermediate
188,active
71,intermediate
106,potent
270,inactive
102,potent
